LSOACODE,AVEPRICE,AVEINCOME,IMDSCORE,PTAINDEX
E01002003,347904.62,41283.33,43.5,28.43
E01002004,600672.28,49336.67,20.7,22.47
E01002005,594629.85,67623.33,17.3,14.67
E01002006,602189.16,66886.67,16.1,12.2
E01002007,1260125.28,71496.67,11.9,16.8
E01002008,3382006.38,81093.33,10.6,4.4
E01002009,1255919.89,73013.33,13.2,16.17
E01002010,1468441.23,64383.33,18,3.84
E01002011,777483.53,63920,20.3,10.85
E01002013,647986.3,61810,12.8,5.3
E01002014,539762.55,51860,22.8,15.18
E01002015,571729.02,46906.67,28.9,8.69
E01002016,600675.96,54213.33,22.6,12.47
E01002017,536133.28,56030,25,12.51
E01002018,545841.84,49660,23.2,4.12
E01002019,945750.88,73996.67,9,7.2
E01002020,606500.83,62753.33,21.6,8.58
E01002021,1010062.8,73900,9.5,7.09
E01002022,714958.88,63200,15.6,11.92
E01002023,913894.34,68493.33,14.6,9.17
E01002024,751686.68,67863.33,17.1,7.87
E01002025,1119450.86,76406.67,7,4.83
E01002026,293272.44,35586.67,57.9,29.34
E01002027,485553,42130,33.6,16.39
E01002028,427904.95,42240,30.3,14.36
E01002029,300350.5,38233.33,41.1,27.62
E01002030,491885.18,43726.67,27.8,18.67
E01002031,409544.88,40743.33,36.3,35.81
E01002032,357159.12,38606.67,39.7,18.67
E01002033,400057.22,39556.67,39.2,24.58
E01002034,171950.85,32850,55.1,17.97
E01002036,272883.61,34566.67,55.8,12.6
E01002037,201542.63,33873.33,60,5.61
E01002038,251173.56,32430,53.4,17.29
E01002039,207309.05,32046.67,57.3,10.22
E01002040,293516.73,36193.33,45,11.14
E01002041,330957.74,35550,46,15.99
E01002042,479389.88,44250,26.6,7.49
E01002043,414054.1,41076.67,33.7,10.52
E01002044,384623.38,44526.67,27.4,15.81
E01002045,360088.35,39843.33,34.9,10.35
E01002046,332557.97,38903.33,40.9,15.6
E01002047,471484.04,44613.33,28.3,15.46
E01002048,446593.41,43236.67,29.9,17.36
E01002049,383033.96,40110,36.9,9.75
E01002050,493103.33,46836.67,22,18.35
E01002051,342847.22,42226.67,37.9,29.04
E01002052,543690.32,46413.33,28.6,4.52
E01002053,457893.01,39703.33,41.1,22.52
E01002054,288979.23,36580,41.5,12.88
E01002055,564068.8,47466.67,25.9,24.75
E01002056,415831.7,41853.33,37,11.81
E01002057,442091.32,43843.33,29.3,3.96
E01002058,516275.72,46360,31.2,19.24
E01002059,652636.18,56860,21.8,7.26
E01002060,679766.39,61426.67,12.4,10.17
E01002061,633194.95,59420,17.6,11.67
E01002062,529691.98,58096.67,16.8,13.98
E01002063,512854.13,54863.33,23.8,17.5
E01002064,580908.57,50436.67,31.2,29.68
E01002065,536511.47,54313.33,25.4,40.12
E01002066,235399.12,36633.33,49.3,35.25
E01002067,412524.54,37716.67,46.8,10.43
E01002068,388490.47,39490,36.9,26
E01002069,393198.69,37913.33,46.3,29.14
E01002070,406317.53,41153.33,31.5,16.51
E01002071,321458.44,35496.67,56.5,36.13
E01002072,394112.05,37203.33,39.2,32.19
E01002073,375955.83,39093.33,45.2,24.42
E01002074,258894.09,34956.67,50.3,16.15
E01002075,320198.82,36243.33,36.2,7.64
E01002076,324966.9,36816.67,39,7.84
E01002077,277252.59,34226.67,41.8,21.88
E01002078,274397.86,37816.67,41.1,16.58
E01002079,371373.92,40013.33,31.9,15.16
E01002080,297678.38,39726.67,37.4,17.45
E01002081,317539.05,32980,52.5,31.71
E01002082,268888.1,34060,52.5,5.27
E01002083,400757.15,44073.33,20.3,12.92
E01002084,444717.38,43490,30.9,7.06
E01002085,431987.37,42186.67,32.3,32.63
E01002086,442641.84,39436.67,38.4,6.07
E01002087,424765.66,42033.33,38.7,20.58
E01002088,444069.62,42393.33,26.7,11.33
E01002089,154704.11,33070,56.6,4.62
E01002090,340226.85,37986.67,38.5,4.44
E01002091,342097.64,33903.33,50.3,10.26
E01002092,195766.73,34933.33,45.2,11.27
E01002093,316200,35093.33,49.1,9.16
E01002094,326118.96,36793.33,47.6,8.56
E01002095,329886.9,36556.67,50,10.45
E01002096,323590.71,36253.33,42.1,11.58
E01002097,318228.32,36830,44,11.13
E01002098,520954.24,47283.33,23.2,31.9
E01002099,254333.44,35783.33,46.9,17.23
E01002100,313925.68,38690,32.8,11.31
E01002101,418054.35,43486.67,24.2,4.39
E01002102,412147.19,43570,30.1,10.05
E01002103,411428.63,42076.67,25.7,11.1
E01002104,411255.45,41100,27.2,7.76
E01002105,393107.03,41500,30.6,31.51
E01002106,485686.57,50136.67,10.9,3.63
E01002107,536014.97,50756.67,7,2.84
E01002108,499256.64,53223.33,7.7,4.25
E01002109,665335.12,57336.67,8.6,4.21
E01002110,556174.9,53156.67,7.1,5.97
E01002111,401521.67,48436.67,13.2,4.09
E01002112,846170.79,56733.33,6.7,6.15
E01002113,545214.1,51983.33,15.8,2.55
E01002114,450965.08,45410,19.9,1.52
E01002115,500269.65,50356.67,13.6,4.81
E01002116,549247.93,51060,6.8,6.21
E01002117,431345.48,49880,16.4,6.97
E01002118,336789.32,43796.67,17.6,11.96
E01002119,320393.04,41993.33,18.7,13.78
E01002120,332653.85,38070,30.4,5.86
E01002121,436312.76,42790,12.3,4.12
