LSOACODE,AVEPRICE,AVEINCOME,IMDSCORE,PTAINDEX
E01000001,1033951.89,102660,6.1,69.82
E01000002,1010719.58,104173.33,6.3,83.78
E01000003,601857.75,81976.67,19.5,41.74
E01000005,470676,69676.67,26,85.89
E01000006,238836.99,43420,22.6,22.46
E01000007,183837.26,37496.67,42.5,33.3
E01000008,185384.48,35866.67,38.3,7.39
E01000009,221102.42,40013.33,33.4,38.36
E01000010,200068.37,39976.67,30.9,32.29
E01000011,243556.94,39566.67,30.1,31.92
E01000012,170330.88,38413.33,36.9,16.23
E01000013,229079.82,37756.67,40.3,13.14
E01000014,227537.58,37390,38.4,7.46
E01000015,195198.44,37033.33,39.1,8.3
E01000016,238998.13,38340,34.2,5.12
E01000017,248082.25,37683.33,40.6,8.2
E01000018,232961.49,38370,36.4,7.38
E01000019,243923.14,38640,34.6,4.59
E01000020,249291.85,38720,32.9,6.75
E01000021,238556.73,36456.67,40.8,4.87
E01000022,240880.66,39140,31.6,6.4
E01000023,218987.32,38946.67,38.6,7.01
E01000024,247147.78,38440,30.9,7.44
E01000025,233202.07,38416.67,36,5.75
E01000027,223404.8,37286.67,42,3.86
E01000028,204444.78,36240,43.1,3.01
E01000029,281308.08,40363.33,26.7,2.52
E01000030,218261.02,36300,41.3,4.82
E01000031,278274.28,43353.33,25.1,4.08
E01000032,260576.74,41146.67,30.4,6.69
E01000033,242412.13,38353.33,41.4,3.92
E01000034,251760.78,41220,37,3.51
E01000035,248881.2,42223.33,27,6.78
E01000036,240838.8,43726.67,20.9,7.35
E01000037,267369.57,46156.67,20.1,2.32
E01000038,283497.83,43636.67,19.1,8.36
E01000039,263212.24,44133.33,23.5,2
E01000040,240193.6,38180,34.7,9.01
E01000041,248745.72,38106.67,34.7,5.72
E01000042,221773.99,36763.33,43.9,8.49
E01000043,253283.5,39083.33,33.7,7.27
E01000044,245238.82,40173.33,31.1,8.71
E01000045,224985.89,38716.67,37.9,7.09
E01000046,241140.18,37640,31.1,6.09
E01000048,271516.08,32600,49.3,8.14
E01000049,204635.42,34323.33,41.4,7.74
E01000050,242004.83,36610,35.7,23.45
E01000051,304477.78,32730,42.7,13.44
E01000052,241871.78,37093.33,31.6,7.91
E01000053,194971.81,37656.67,42.1,5.84
E01000054,240757.41,38940,32.8,6.31
E01000055,246681.84,38876.67,32.6,7.79
E01000056,223027.84,38530,42.4,1.63
E01000057,228075.94,38583.33,40.2,9.98
E01000058,217977.95,39173.33,31.6,7.26
E01000059,239049.43,38053.33,38.3,5.43
E01000060,239278.47,37506.67,40.9,4.75
E01000061,145583.33,33476.67,56.6,7.36
E01000062,252312.71,38213.33,31.3,4.49
E01000063,231444.82,37473.33,34.8,7.43
E01000064,218391.47,36886.67,35.2,4.11
E01000065,241593.2,35633.33,39.7,5.83
E01000066,293907.92,44376.67,24.2,3.48
E01000067,314031.19,45590,21,5.81
E01000068,351541.56,47426.67,26,16.95
E01000069,396518.65,48346.67,15.8,8.91
E01000070,359341.58,46883.33,20.9,9.09
E01000071,317480.46,45423.33,18.3,8.5
E01000072,215475.59,35440,44.3,3.47
E01000073,243415.87,37726.67,39.5,3.68
E01000074,212149.96,37713.33,35.3,5.22
E01000075,260757.63,38433.33,38.6,9.07
E01000076,221488.98,36650,39,5.92
E01000077,236048.63,36593.33,36.7,7.49
E01000078,235137.24,36940,37,6.91
E01000079,231639.64,36986.67,37.5,5.87
E01000080,244196.77,36716.67,34.1,5.89
E01000081,234917.71,37836.67,31.7,4.96
E01000082,209069.99,37923.33,32.1,4.94
E01000083,216651.93,37416.67,38.2,7.39
E01000084,232227.77,38116.67,41.8,13.92
E01000085,225803.07,36186.67,38.8,13.56
E01000086,235226.9,38940,37.9,11.32
E01000087,244428.27,38460,34.4,7.1
E01000088,221726.6,40536.67,30.2,4.09
E01000089,222907.28,39676.67,29.6,3.15
E01000090,212336.38,40373.33,30.7,2.62
E01000091,218872.22,35263.33,44.1,4.7
E01000092,200387.94,39593.33,32.7,1.89
E01000093,188391.9,35436.67,45.2,4.77
E01000094,205591.12,40450,31.6,3.09
E01000095,230389.29,40836.67,35.8,3.5
E01000096,258652.43,35483.33,44.2,3.52
E01000097,254421.33,38403.33,41.1,14.57
E01000098,242322.76,37886.67,38.4,11.06
E01000099,253526.52,39330,32.3,9.59
E01000100,247158.84,38460,34.9,4.92
E01000101,245151.28,37906.67,39.7,8.7
E01000102,234449.06,38533.33,38.1,5.78
E01000103,217841.39,36710,40.8,3.05
E01000104,226747.17,36116.67,37.7,8.25
E01000105,197427.8,35313.33,46.9,8.92
E01000106,178516.9,35840,46.2,4.77
E01000107,253543.01,40400,26.9,2.68
E01000108,218367.21,39980,27.9,9.59
E01000109,266036.59,41953.33,28.5,4.31
E01000110,304936.38,46460,16.3,5.2
E01000111,251822.18,40983.33,31,5.31
E01000112,215127.7,42353.33,23.2,9.71
E01000113,226087.62,43993.33,26.6,14.54
E01000114,228766.51,42020,26.8,5.97
E01000115,717502.8,59473.33,4.9,7.01
E01000116,478823.08,53746.67,9.7,5.31
E01000117,438124.67,50240,11.2,5.75
E01000118,414941.13,51016.67,11.8,5.74
E01000119,596097.5,56400,12.6,8.41
E01000120,597882.46,57176.67,8.8,7.21
E01000121,382142.46,43263.33,38.8,3.31
E01000122,581788.97,55473.33,10,3.91
E01000123,419611.97,49353.33,12.2,5.59
E01000124,352821.96,44653.33,25.5,12.91
E01000125,270818.87,38336.67,32.5,12.38
E01000126,263109.99,37256.67,35.4,4.62
E01000127,310771.71,38246.67,30.2,14.67
E01000128,326415.48,40070,26.8,14.62
E01000129,217585.42,36573.33,37.4,20.56
E01000130,288834.08,40790,33.4,9.85
E01000131,344657.24,42093.33,21.1,8.72
E01000132,313007.75,40523.33,27.7,10.03
E01000133,314405.66,39040,35.6,11.54
E01000134,294960.56,39456.67,24.9,11.04
E01000135,1025239.75,60780,13.2,14.62
E01000136,2391948.13,86203.33,9.4,11.63
E01000137,453361.67,43080,32.7,11.49
E01000138,585727.13,48836.67,30.3,10.27
E01000139,1070262.82,53023.33,13.5,10.19
E01000140,645473.68,48750,17.7,14.51
E01000141,412339.73,42670,34.1,17.38
E01000142,435217.55,46276.67,20.6,12.98
E01000143,660974.18,43616.67,34.6,13.92
E01000144,987221.21,59566.67,20.9,24.47
E01000145,1007053.18,57330,13.8,12.03
E01000146,1083862.26,55700,18.1,30.03
E01000147,461979.17,44223.33,12.2,4.93
E01000148,310090.13,38960,30.8,11.27
E01000150,326944.12,42346.67,19.1,5.1
E01000151,245100,36420,41.9,4.14
E01000152,354575,36323.33,38.6,3.95
E01000153,296784.8,37743.33,47.9,5.49
E01000154,306245.26,35920,35.6,9.28
E01000155,318523.19,41170,22.7,12.02
E01000156,583303.83,52746.67,11.1,8.16
E01000157,408140.34,48270,17.3,4.75
E01000158,462537.28,49906.67,20,6.75
E01000159,513171.73,52726.67,19,4.51
E01000160,491544.81,55490,14.2,7.36
E01000161,446475,49336.67,16.8,9.43
E01000162,497457.71,49480,22.7,10.21
E01000163,284739.13,42570,33,3.8
E01000164,395746.56,44546.67,29.8,7.31
E01000165,434248.19,50496.67,15.7,8.9
E01000166,462497.14,52563.33,16.2,5.25
E01000167,381034.19,45860,28,1.79
E01000168,578439.43,58210,6.9,6.79
E01000169,447186.03,52893.33,13.3,6.72
E01000170,451649.56,48883.33,21.8,8.01
E01000171,289292.91,47920,26.3,11.33
E01000172,505360.65,54613.33,9.4,3.48
E01000173,429656.8,53840,9.5,3.15
E01000174,347165.92,47790,18.7,9.7
E01000175,499709.22,54896.67,9.6,5.88
E01000176,457225.45,45046.67,30.9,3.72
E01000177,599103.24,57503.33,8.6,5.03
E01000178,680211.67,55540,11.1,4.03
E01000179,479317.02,56680,8.9,3.1
E01000180,574140.47,51710,16.3,8.58
E01000181,779876.11,62670,8.5,14.15
E01000182,630851.49,58423.33,9.1,14.5
E01000183,582379.25,62643.33,11.1,2.93
E01000184,353398.54,43656.67,34.4,1.94
E01000185,352651.68,42406.67,33.4,2.91
E01000186,683403.82,58466.67,4.9,7.95
E01000187,519861.53,51476.67,15,4.1
E01000188,754542.01,59683.33,8.6,0.98
E01000189,514509.12,41356.67,37.9,1.92
E01000190,542260.84,56326.67,11.8,4.05
E01000191,487396.13,57626.67,8,10.54
E01000192,552037.1,49810,15.6,21.43
E01000193,412255.53,50916.67,16,20.07
E01000194,453200.15,47053.33,19.1,16.01
E01000195,273666.29,41406.67,31.9,1.5
E01000196,472923.39,54510,14.8,15.33
E01000197,629816.59,56326.67,12.9,9.2
E01000198,485261.74,58843.33,12.7,3.23
E01000199,745242.54,62413.33,6.9,4.5
E01000200,780512.08,58700,10.6,6.87
E01000201,1312075.6,71366.67,7.7,6.12
E01000202,674436.23,63960,7.6,7.47
E01000203,653664.64,53236.67,16.7,5.04
E01000204,855100.69,58983.33,10.9,11.44
E01000205,826354.26,70633.33,7.7,4.21
E01000206,4170457.58,111596.67,9.4,2.8
E01000207,1106550.74,78506.67,6.4,3.9
E01000208,1170644.16,73013.33,8.1,10.28
E01000209,1089211.08,69373.33,7.9,5.38
E01000210,870996.13,71356.67,8.4,3.92
E01000211,430761.56,54583.33,17.4,8.36
E01000212,1482607.85,73446.67,8.8,7.75
E01000213,2463729.36,103746.67,5.8,3.38
E01000214,1090065.03,65813.33,11.8,16.64
E01000215,696626.63,56500,12.9,12.71
E01000216,854499.82,62613.33,10.9,8.8
E01000217,1002594.43,62183.33,11.8,6.09
E01000218,762137.95,56550,13.4,14.02
E01000219,486384.56,54223.33,16.9,18.71
E01000220,835067.59,52726.67,16.2,13.65
E01000221,352793.87,40150,44,13.35
E01000222,512676.52,45653.33,29.8,6.69
E01000223,445245.08,42710,34.4,8.45
E01000224,531028.74,48793.33,20.2,9.29
E01000225,877716.91,60256.67,11.3,5.42
E01000226,314553.29,40603.33,30.5,6.73
E01000227,483438.51,52510,11.7,5.57
E01000228,741825.79,60656.67,13.4,0.81
E01000229,381882.41,46390,24.9,2.5
E01000230,451915.6,51910,10,5.13
E01000231,390448.47,49196.67,16.1,2.99
E01000232,527003.03,52003.33,15.7,7.25
E01000233,539519.36,53593.33,11,7.01
E01000234,561478.55,53840,11.5,11.87
E01000235,466154.94,45323.33,26.7,12.18
E01000236,648854.05,54340,12.4,6.55
E01000237,903854.8,52230,12.1,14.37
E01000238,516348.8,52536.67,14.1,4.37
E01000239,309707.29,48463.33,20.8,5.81
E01000240,440408.14,51213.33,20.2,2.38
E01000241,691964.4,54390,12,2.21
E01000242,792862.78,53616.67,21.5,4.83
E01000243,395632.68,47713.33,18.2,7.49
E01000244,568799.81,49293.33,16,8.21
E01000245,362316.53,43673.33,30.9,10.41
E01000246,489911.69,56750,10.5,2.35
E01000247,392417.86,54560,9.8,4.87
E01000248,536425.75,60220,9.6,10.53
E01000249,637240.05,63856.67,6.1,2.12
E01000250,414829.44,56480,15.6,8.55
E01000251,362523.44,50516.67,20.5,11.95
E01000252,430579.08,52850,16.1,8.41
E01000253,1149397.71,69930,10.5,1.17
E01000254,615845.08,62696.67,9.2,0.54
E01000255,573820.5,49680,21,1.78
E01000256,614508.97,58200,13.9,3.63
E01000257,443200.09,44793.33,29.7,7.1
E01000258,701022.59,58563.33,12.5,6.78
E01000259,496241.76,54660,14.6,1.75
E01000260,436021.77,52143.33,24.6,2.56
E01000261,929248.58,57633.33,9.7,2.93
E01000262,639789.4,52286.67,14.9,1.96
E01000263,1316808.49,71153.33,5.7,5.37
E01000264,554133.75,52810,18.6,10.95
E01000265,317539.48,47250,19.3,5.79
E01000266,868016.35,61116.67,8,4.41
E01000267,590127.24,56646.67,14.3,7.58
E01000268,385970.53,52360,20.2,13.78
E01000269,469405.41,55040,10.6,10.03
E01000270,493666.71,56780,11,10.49
E01000271,690365.68,57443.33,8.9,9.08
E01000272,948233.43,66153.33,6.2,7.16
E01000273,609396.67,52746.67,15.8,12.15
E01000274,429102.99,48546.67,19.1,6.76
E01000275,542287.29,55983.33,13.4,7.43
E01000276,897986.11,68920,3.8,2.91
E01000277,382852.14,49413.33,20.7,10.14
E01000278,797543.12,67573.33,4.7,5.13
E01000279,1512249.1,81280,6.6,1.49
E01000280,1166486.82,72156.67,3.3,4.76
E01000281,402524.51,51103.33,17.8,10.2
E01000282,639457.21,60550,8.8,9.59
E01000283,898828.67,66266.67,5.5,4.22
E01000284,446030.87,50753.33,17.8,7.86
E01000286,347821.86,46480,26.2,4.58
E01000287,366813.77,44406.67,27.8,4.13
E01000288,472841.52,49580,13.5,8.34
E01000289,301774.11,40430,40.8,6.94
E01000290,681447.52,49990,24.5,1.48
E01000291,437624.57,40933.33,35.6,3.04
E01000292,504290.63,53283.33,13.4,8.11
E01000293,560600.17,58136.67,8.3,16.18
E01000294,470176.09,50196.67,14.6,6.76
E01000295,672024.71,57503.33,11.8,14.57
E01000296,481198.34,54720,13.7,16.8
E01000297,449107.87,50250,11.1,5.74
E01000298,566497.25,54233.33,13.5,12.43
E01000299,353700.31,49453.33,18.1,13
E01000300,581702.7,53250,12,11.13
E01000301,639621.98,64973.33,6.8,11.16
E01000302,417171.25,50550,17.5,14.06
E01000303,655896.26,64140,7.3,7.75
E01000304,539620.46,57663.33,14.7,8.91
E01000305,330704.6,42010,29.6,4.54
E01000306,375731.12,44350,17.1,10.65
E01000307,431336.05,43103.33,23.8,13.58
E01000308,348357.14,39273.33,48.1,3.59
E01000309,541881.4,53013.33,13.9,13.43
E01000310,512202.12,48716.67,19.6,16.94
E01000311,906051.58,62073.33,10.2,11.25
E01000312,266567.66,41560,26.8,7.46
E01000313,407645.93,43430,24.6,12.43
E01000314,600344.74,52690,12.2,17.89
E01000315,430998.57,43043.33,34.3,4.28
E01000316,425360.09,47476.67,21.7,5.18
E01000317,481407.79,51426.67,13.3,13.01
E01000318,602512.28,51670,14,7.65
E01000319,551048.22,54276.67,10,5.8
E01000320,589010.39,54153.33,10.5,4.42
E01000321,424122.97,50676.67,19,8.32
E01000322,406057.79,49366.67,17.7,5.71
E01000323,381893.83,47490,22.1,12.34
E01000324,514757.92,52656.67,14.5,6.65
E01000325,394074.6,50173.33,5,8.33
E01000326,245110.13,47203.33,11.5,3.41
E01000327,368681.17,47786.67,8.2,13.2
E01000328,284358.65,45360,9.4,2.85
E01000329,257983.92,44146.67,17,8.28
E01000330,229122.32,42063.33,16.3,17.44
E01000331,271716.22,40993.33,25.5,3.1
E01000332,243061.5,41123.33,16.1,7.26
E01000333,235541.7,39040,28.1,4.65
E01000334,261556.69,43546.67,13.5,3.74
E01000335,165012.39,38133.33,31.6,3.69
E01000336,177897.72,36790,32.9,8.94
E01000337,232524.12,41320,19.9,4.86
E01000338,215586.64,40653.33,18.5,7.49
E01000339,340894.42,47273.33,13.4,4.68
E01000340,299839.58,45140,12.5,2.62
E01000341,316547.97,48156.67,7.9,3.28
E01000342,249830.09,48016.67,8.4,2.81
E01000343,349260.47,48646.67,8.8,4.57
E01000344,332839.4,48516.67,5.8,4.49
E01000345,390887.99,50756.67,5.3,4.67
E01000346,312374.93,46350,7.8,3.84
E01000347,264501.45,44290,12.5,4.94
E01000348,456269.02,53450,4.4,3.24
E01000349,384382.15,50913.33,6.4,4.26
E01000350,347515.2,47520,7.4,3.73
E01000351,324629.82,47523.33,6.2,3.14
E01000352,274907.54,45096.67,15.2,4.45
E01000353,372960.06,48846.67,4,3.9
E01000354,298910.25,44983.33,19.9,6.97
E01000355,323232.22,46533.33,8.5,7.68
E01000356,363647.09,47520,6.8,12.16
E01000357,388483.94,51053.33,4,6.54
E01000358,279274.26,47863.33,7,8.54
E01000359,319473.66,50420,5.6,4.7
E01000360,258351.22,46470,18.5,16.18
E01000361,322350.89,47950,11.6,5.09
E01000362,314505.74,46306.67,11.3,15.06
E01000363,398721.75,49280,7.4,5.38
E01000364,324571.17,48113.33,11.3,3.82
E01000365,256989.31,44643.33,15.9,10.99
E01000366,330679.38,47620,9.9,15.44
E01000367,200907.88,37826.67,32,3.21
E01000368,236422.79,38206.67,31.2,2.42
E01000369,285643.79,43913.33,13.7,4.21
E01000370,325723.93,45700,9.2,10.76
E01000371,264659.06,45153.33,8.8,4.98
E01000372,288313.15,38433.33,29.2,3.5
E01000373,297727.27,35933.33,33,3.11
E01000374,235191.24,37453.33,38.4,2.26
E01000375,241521.64,41533.33,20.6,6.52
E01000376,247453.3,42433.33,13,2.19
E01000377,214227.96,44020,11.8,1.63
E01000378,243853.36,42520,21.5,4.31
E01000379,303717.72,43223.33,19.6,7.05
E01000380,203362.86,38420,24.6,5.19
E01000381,280472.29,40153.33,26.8,1.43
E01000382,364506.73,48103.33,5.8,3.01
E01000383,385873.47,42500,19.8,0.68
E01000384,293133.83,44433.33,11.4,7.69
E01000385,269203.96,37823.33,30.2,3.62
E01000386,201568.45,36690,36,6.66
E01000387,321077.68,45136.67,11.3,7.45
E01000388,327267.49,45360,11.5,4.36
E01000389,343244.32,47496.67,12,8.04
E01000390,382065.44,46753.33,10,2.9
E01000391,291517.04,43730,13.3,1.68
E01000392,282175.61,40923.33,27.4,11.24
E01000393,298428.76,46826.67,9.1,8.81
E01000394,293873.87,46916.67,9.6,15.49
E01000395,374805.09,47876.67,6.1,4.95
E01000396,335429.14,46193.33,7.4,4.8
E01000398,276202.22,40316.67,20.8,3.36
E01000399,331237.09,43286.67,10.2,8.83
E01000400,272569.11,42526.67,13,10.41
E01000401,260747.69,40743.33,26.6,11.84
E01000402,202328.57,40463.33,20.6,3.55
E01000403,193127.6,39116.67,28.9,9.62
E01000404,165737.37,38836.67,28.3,7.16
E01000405,223363.1,40046.67,24.9,2.41
E01000406,220013.56,40120,25,2.82
E01000407,286178.75,40716.67,16.8,5.89
E01000408,236079.71,39583.33,21.5,2.32
E01000409,317783.46,45983.33,6.5,6.05
E01000410,313227.91,46676.67,6.7,3.39
E01000411,311170.52,45290,9.5,3.94
E01000412,304173.63,47630,10.6,6.78
E01000413,278995.86,45420,12.3,3.14
E01000414,275009.17,43590,14.1,15.58
E01000415,362284.89,47990,6,10.02
E01000416,272714.54,39843.33,26.4,14.24
E01000417,297851.11,43376.67,18.5,6.47
E01000418,261579.01,40033.33,21.5,8.33
E01000419,309149.32,44450,7.6,3.82
E01000420,281518.44,45330,10.5,4.25
E01000421,343013.54,44563.33,7.3,3.69
E01000422,170618.18,35723.33,39.7,9.61
E01000423,404183.44,51313.33,3.7,5.63
E01000424,350453.69,49643.33,8.3,12.06
E01000425,466015.95,51883.33,5.6,2.02
E01000426,290912.91,47946.67,8.7,4.02
E01000427,307089.64,44756.67,12.4,3.51
E01000428,274055.21,44673.33,24.5,8.35
E01000429,133997.15,34946.67,41.9,1.88
E01000430,227878.11,39410,18.5,0.74
E01000431,198829.7,35206.67,38.8,3.88
E01000432,269651.39,36743.33,29.4,6.73
E01000433,208041.82,35576.67,37.8,9.43
E01000434,228723.38,34450,37.5,3.06
E01000435,231008.38,36713.33,28.5,6.34
E01000436,388333.33,47803.33,6.2,5.01
E01000437,295638.07,44633.33,12.8,2.77
E01000438,240425.74,43050,13.2,3.66
E01000439,255415.42,41150,24.8,4.73
E01000440,351241.45,45230,6.6,2.87
E01000441,256307.26,41260,28.1,3.74
E01000442,309889.29,43846.67,13.6,4.72
E01000443,334290.09,46656.67,18.9,9.31
E01000444,552554.05,55810,5.8,1.74
E01000445,410303.25,50636.67,5.1,5.53
E01000446,306563.34,48436.67,6,5.51
E01000447,303097.44,51350,10.5,7.29
E01000448,529752.23,56673.33,2.7,6.52
E01000449,446851.43,54576.67,5.5,7.69
E01000450,328459.14,44343.33,18.5,3.66
E01000451,311280.94,46793.33,9,4.69
E01000452,328028.99,47593.33,6.8,3.57
E01000453,325493.18,46086.67,9.4,3.33
E01000454,268077.79,42056.67,19.2,5.2
E01000455,309431.35,46316.67,6.2,6.2
E01000456,328291.63,45906.67,6.4,3.2
E01000457,313601.15,46156.67,11.5,14.94
E01000458,358291.96,51453.33,5.1,6.25
E01000459,320600.44,45843.33,13.7,8.92
E01000460,402859.68,56300,3.2,2.84
E01000461,391574.81,51193.33,6.6,7.33
E01000462,262005.32,44883.33,12.8,13.39
E01000463,359413.59,50650,4.6,4.47
E01000464,193204.55,35450,27.8,7.32
E01000465,188996.41,34786.67,30.2,5.52
E01000466,263203.76,39046.67,25.8,1.55
E01000467,197376.49,40450,21.4,5.7
E01000468,223646.05,42033.33,21.1,1.14
E01000469,199952.89,41396.67,19.8,6.27
E01000470,180440.4,34616.67,41.7,7
E01000471,349086.25,40230,22.1,2.37
E01000472,284415.61,40983.33,26.6,10.29
E01000473,271523.66,37716.67,28,13.53
E01000474,360087.5,38063.33,19.8,6.02
E01000475,343265.57,40046.67,21.5,11.31
E01000476,340047.22,39913.33,21.4,4.27
E01000477,257564.67,37696.67,26.3,4.59
E01000478,348080.5,39946.67,23,10.82
E01000479,748223.33,48653.33,16.3,8.77
E01000480,715957.13,51703.33,11.9,8.53
E01000481,318021.43,39866.67,30.1,10.8
E01000482,289166.65,37550,35.2,13.84
E01000483,295816.4,36056.67,35,4.49
E01000484,388200,39390,41.5,4.34
E01000485,416768.41,41763.33,26.5,6.62
E01000486,557993.3,47530,15.2,1.89
E01000487,373247.69,43856.67,16.7,9.21
E01000488,901293.47,47693.33,21.1,11.59
E01000489,848020.57,51320,20.2,9.82
E01000490,693021.45,49510,27.5,18.84
E01000491,1044835.82,49750,22.1,8.22
E01000492,1138759.89,54113.33,14.2,10.22
E01000493,1004860.73,52986.67,13.8,12.12
E01000494,688836.51,47503.33,19.7,12.77
E01000495,504248.41,44890,32.8,16.57
E01000497,444466.45,39586.67,21.5,9.97
E01000498,363258.33,37183.33,26,2.96
E01000499,376731.86,38180,28.5,8.18
E01000501,337780.27,37050,35.5,7.47
E01000502,494067.98,39893.33,27.9,5.23
E01000503,567024.37,40533.33,25.2,4.52
E01000504,706369.09,46583.33,23,8.57
E01000505,865680.38,45956.67,21.4,6.08
E01000506,333394.55,36173.33,33.5,12.78
E01000507,731558.74,45950,22.9,8.58
E01000508,385565.18,34303.33,46.9,9.03
E01000509,485319.44,38103.33,35.3,7.72
E01000510,494680.78,38836.67,31.6,13.53
E01000511,618927.85,40433.33,32,14.7
E01000512,538571.96,47030,20.2,12
E01000513,451126.67,44703.33,15.9,7.65
E01000514,273935.14,44916.67,14,6.2
E01000515,292912.68,39286.67,26.9,8.25
E01000516,436884.42,43373.33,18,7.97
E01000517,548609.29,47066.67,13.5,6.82
E01000518,422171.64,43063.33,23.7,5.5
E01000519,417635.42,41863.33,20.3,2.01
E01000520,315376.37,42330,20.5,7.16
E01000521,309539.07,32326.67,54.4,18.56
E01000522,436966.09,36050,31.8,2.04
E01000523,517948.48,35893.33,36,13.52
E01000524,408751.11,34016.67,51.2,22.6
E01000525,353053.89,34836.67,40.7,21.98
E01000526,308188.43,33713.33,44,5.2
E01000527,337044.49,34163.33,36.9,5.29
E01000528,244023.91,33673.33,51.2,7.4
E01000530,785565.36,48216.67,18,9.06
E01000531,660691.58,43996.67,27.3,12.26
E01000532,655495.87,47163.33,21.5,14.58
E01000533,481194.75,37420,43.5,13.46
E01000534,702875.36,46593.33,22,6.5
E01000535,489931.9,41920,30.2,17.24
E01000536,590858.18,54596.67,11.3,12.95
E01000538,662805.88,57286.67,8.3,1.64
E01000539,397097.69,52520,10,7.61
E01000540,624775.45,54936.67,10.8,6.36
E01000541,348251.02,49360,16.2,8.28
E01000543,399004.74,46070,22.8,9.26
E01000544,513579.1,36243.33,40.7,16.8
E01000545,598499.99,45596.67,30.2,20.28
E01000546,766378.24,47740,23.3,17.02
E01000547,736936.41,45646.67,22.9,17.47
E01000548,456777.48,43520,35.4,25.89
E01000549,746521.02,51616.67,16.5,19.18
E01000550,528142.92,38966.67,38.3,27.08
E01000551,400241.92,33850,47.4,21.55
E01000552,412800,33456.67,50,22.56
E01000553,517161.38,40746.67,29.6,16.98
E01000554,445170.98,41846.67,24.7,6.03
E01000555,771989.07,51390,16.3,6.41
E01000556,475390.6,39686.67,37.1,24.24
E01000557,481758.01,43280,22.5,20.27
E01000558,886605.47,49786.67,25.6,15.21
E01000559,667151.99,47986.67,21.5,13.47
E01000560,851476.44,51130,18.7,12.83
E01000561,643515.13,45646.67,24,20.74
E01000562,684107.78,56783.33,11.8,3.15
E01000563,650982.18,54006.67,11,4.23
E01000564,373838.09,43686.67,18.3,8.36
E01000565,427966.74,45856.67,25.1,5.34
E01000566,537079.36,50566.67,15.2,3.74
E01000567,326819.35,45123.33,18.8,4.9
E01000568,461177.3,51556.67,14.4,14.98
E01000569,531965.4,53436.67,9.7,6.58
E01000570,334194.11,39030,26.7,8.26
E01000571,579076.19,45836.67,21.1,9.19
E01000572,482344.15,48230,11.9,4.89
E01000573,464170.21,45600,13.9,9.53
E01000574,485890.67,46530,12.4,7.55
E01000575,398561.31,45000,16.6,9.64
E01000576,357684.45,45916.67,15.1,9.46
E01000577,273091.1,39616.67,31.9,7.48
E01000578,355736.65,42476.67,27,15.69
E01000579,729393.09,49120,27,20.8
E01000580,1314864.38,56220,21.6,13.52
E01000581,1258633.24,59360,15.6,14.86
E01000582,1522727.33,62763.33,14.7,17.87
E01000583,1044875.28,51283.33,20.9,21.47
E01000584,874483.54,52143.33,14.6,18.75
E01000585,940049.36,50140,14.9,21
E01000586,520598.22,46796.67,27,25.48
E01000587,489604.29,43836.67,14.9,6.58
E01000588,340514.41,41343.33,24.5,8.43
E01000589,388370.19,44193.33,19.3,7.32
E01000590,385472.03,44653.33,16.3,4.51
E01000591,415521.76,41133.33,21.9,10.21
E01000592,357214.17,44303.33,20.1,13.32
E01000593,359181.97,43370,20.4,5.73
E01000594,356711.07,42283.33,18.4,10.19
E01000595,349743.3,32656.67,49.2,7.64
E01000596,290246.13,31613.33,51.5,6.15
E01000599,279428.57,35076.67,43.1,17.07
E01000600,352083.54,34220,38.9,8.41
E01000601,339465.28,34310,57.5,8.09
E01000602,246730.52,33196.67,45.2,8.19
E01000603,216555.65,33900,41.1,7.45
E01000604,267940.76,32596.67,42.3,8.92
E01000605,395162.08,32266.67,45.3,10.73
E01000606,332500.07,41073.33,20.2,7.54
E01000607,339468.18,43243.33,18.5,7.6
E01000608,267683.95,40193.33,25,8.99
E01000609,273730.51,41156.67,22,7.65
E01000610,422413.58,40900,27.1,11.57
E01000611,323428.64,40260,22,15.79
E01000612,386357.33,40453.33,23.2,15.82
E01000613,309806.5,41313.33,27.5,6.73
E01000615,224399.94,41140,19.8,8.52
E01000616,361256.47,40443.33,21.6,16.01
E01000617,423541.65,40350,23.4,9.45
E01000618,401004.76,40430,23.7,5.3
E01000619,329925.52,40810,20.6,1.02
E01000620,386898.81,40643.33,20.8,8.14
E01000621,345749.36,40083.33,25.1,10.2
E01000622,312971.74,36976.67,29.7,2.96
E01000623,542295.83,42953.33,15.8,4.84
E01000624,391949.83,41993.33,17.2,1.83
E01000625,537561.44,41426.67,21.6,8.25
E01000626,236333.33,35220,41,7.32
E01000627,225639.93,37350,40.6,10.88
E01000628,339435.59,37406.67,33.9,8.79
E01000629,353018.42,40800,19.1,4.47
E01000630,290119.02,37426.67,30.9,12.68
E01000631,408261.63,40813.33,18.1,9.71
E01000632,395162.08,39000,19.3,12.21
E01000633,368484.33,38420,24.5,21.49
E01000634,271136.49,38943.33,22.7,14.01
E01000635,338885.99,38323.33,29.1,22.64
E01000636,327368.03,39266.67,19.3,16.7
E01000637,506973.53,40543.33,27.5,13.96
E01000638,397099.33,35493.33,33.5,10.66
E01000639,557668.64,42853.33,21.1,14.91
E01000640,447886.93,35566.67,33.8,21.87
E01000641,411879.64,37736.67,33.3,17.79
E01000642,532307.14,41493.33,29.7,18.92
E01000643,426948.23,36926.67,54.4,7.88
E01000644,443071.73,41693.33,26.9,15.77
