SEQID,MSOA11CD,MSOA11NM,OBESE,TOTAL,IMDMSOA,RESTCAT
151,E02000155,Bromley 029,41,171,17,0
152,E02000156,Bromley 030,60,425,6.6625,1
153,E02000157,Bromley 031,27,305,5.28,1
154,E02000158,Bromley 032,52,293,16.82,0
155,E02000159,Bromley 033,17,200,7.175,1
156,E02000160,Bromley 034,42,334,8.02,1
157,E02000161,Bromley 035,50,300,5.3,1
158,E02000162,Bromley 036,31,250,14.275,1
159,E02000163,Bromley 037,32,216,7.64,1
160,E02000165,Bromley 039,41,255,8.94,1
161,E02000166,Camden 001,25,176,20.88,1
162,E02000168,Camden 003,16,186,16.32,2
163,E02000170,Camden 005,21,122,12.64,1
164,E02000171,Camden 006,25,143,14.3,1
165,E02000172,Camden 007,78,314,29.51666667,1
166,E02000173,Camden 008,18,75,8.88,1
167,E02000174,Camden 009,40,215,21.86,1
168,E02000175,Camden 010,25,125,14.44,2
169,E02000177,Camden 012,71,264,27.06,2
170,E02000178,Camden 013,55,185,26.28,1
171,E02000179,Camden 014,24,143,16.025,0
172,E02000180,Camden 015,30,156,24.18,1
173,E02000181,Camden 016,16,99,12.54,0
174,E02000182,Camden 017,27,122,14.3,1
175,E02000183,Camden 018,18,113,17.68,3
176,E02000184,Camden 019,66,243,30.94,2
177,E02000185,Camden 020,50,257,29.92,1
178,E02000186,Camden 021,27,112,25.7,4
179,E02000187,Camden 022,113,348,34.46,3
180,E02000188,Camden 023,66,258,29.14,2
181,E02000189,Camden 024,28,101,28.5,2
182,E02000190,Camden 025,26,97,23.64,3
183,E02000192,Camden 027,52,191,23.15,3
184,E02000193,Camden 028,11,66,17.55,4
185,E02000194,Croydon 001,61,256,23.44,1
186,E02000195,Croydon 002,79,300,15.34,1
187,E02000196,Croydon 003,52,224,24.175,1
188,E02000197,Croydon 004,80,287,20.44,1
189,E02000198,Croydon 005,93,343,31.12,0
190,E02000199,Croydon 006,83,320,21.58,1
191,E02000200,Croydon 007,51,236,26.54,1
192,E02000201,Croydon 008,99,349,32.06,1
193,E02000202,Croydon 009,87,294,21.26666667,0
194,E02000203,Croydon 010,70,289,31.62,1
195,E02000204,Croydon 011,100,371,23.08333333,1
196,E02000206,Croydon 013,122,405,33.13333333,0
197,E02000207,Croydon 014,94,313,28.78,1
198,E02000208,Croydon 015,116,430,39.88,1
199,E02000209,Croydon 016,96,381,25.94,1
200,E02000210,Croydon 017,80,293,18.64,1
201,E02000211,Croydon 018,42,215,10.62,1
202,E02000212,Croydon 019,109,379,30,1
203,E02000213,Croydon 020,102,355,39.2,1
204,E02000214,Croydon 021,29,166,10.825,1
205,E02000215,Croydon 022,55,255,23.43333333,1
206,E02000216,Croydon 023,27,169,13.575,0
207,E02000217,Croydon 024,118,377,28.88,1
208,E02000218,Croydon 025,86,326,22.525,0
209,E02000219,Croydon 026,21,166,9.1,1
210,E02000220,Croydon 027,62,251,26.98,3
211,E02000221,Croydon 028,110,422,28.4,1
212,E02000222,Croydon 029,20,156,14.94,1
213,E02000223,Croydon 030,134,547,38.9,1
214,E02000224,Croydon 031,39,218,15.1,1
215,E02000225,Croydon 032,83,328,31.76,0
216,E02000226,Croydon 033,23,158,9.32,1
217,E02000227,Croydon 034,71,375,17.6875,0
218,E02000228,Croydon 035,26,199,5.62,1
219,E02000229,Croydon 036,87,323,38.6,1
220,E02000230,Croydon 037,42,228,14.13333333,1
221,E02000231,Croydon 038,28,153,8.78,1
222,E02000232,Croydon 039,29,203,11.95,1
223,E02000233,Croydon 040,23,181,13.9,1
224,E02000234,Croydon 041,52,270,17.48,1
225,E02000235,Croydon 042,24,177,11.05,1
226,E02000236,Croydon 043,41,237,9.26,0
227,E02000237,Croydon 044,35,215,13,1
228,E02000238,Ealing 001,92,364,18.62,1
229,E02000239,Ealing 002,68,276,12.78,1
230,E02000240,Ealing 003,114,434,30.05,1
231,E02000241,Ealing 004,66,247,20.175,1
232,E02000242,Ealing 005,55,228,15.125,1
233,E02000243,Ealing 006,74,297,24.24,1
234,E02000244,Ealing 007,36,205,17.125,1
235,E02000245,Ealing 008,121,398,38.04,1
236,E02000246,Ealing 009,121,434,30.48,0
237,E02000247,Ealing 010,109,449,27.88333333,1
238,E02000248,Ealing 011,30,180,18.9,1
239,E02000249,Ealing 012,69,312,24.55,1
240,E02000250,Ealing 013,26,183,8.05,1
241,E02000251,Ealing 014,62,281,17.38,1
242,E02000252,Ealing 015,82,294,29.7,2
243,E02000253,Ealing 016,86,417,33.95,0
244,E02000254,Ealing 017,106,392,22.62,1
245,E02000255,Ealing 018,79,324,21.41666667,0
246,E02000256,Ealing 019,30,148,13.22,1
247,E02000257,Ealing 020,47,211,15.625,2
248,E02000258,Ealing 021,47,186,18.425,1
249,E02000259,Ealing 022,45,245,15,1
250,E02000260,Ealing 023,113,393,26.14,2
251,E02000261,Ealing 024,61,304,23.21666667,1
252,E02000262,Ealing 025,65,255,25.64,2
