streetnumid,burglary,distance,connectivity,choiceq,integq,totalhouses
325,1,139.192,2,1,4,7
326,0,201.899,4,4,4,15
327,2,165.845,5,3,4,14
328,2,248.55,8,4,4,14
329,0,202.694,3,3,4,15
330,0,121.314,3,3,4,6
331,0,84.974,1,1,3,9
332,5,225.296,3,3,4,25
333,0,275.306,5,3,4,34
334,7,227.292,8,4,4,22
335,0,202.435,4,3,4,24
336,0,560.215,3,1,4,21
337,1,335.887,14,4,4,30
338,1,145.289,1,1,4,19
339,0,151.196,2,3,4,16
340,0,60.732,1,1,3,4
341,0,89.372,3,2,4,7
342,0,69.705,2,2,4,4
343,0,52.758,2,2,4,2
344,0,316.966,5,2,4,14
345,1,382.898,16,4,4,22
346,0,499.162,7,4,4,8
347,0,235.937,4,2,4,10
348,0,318.506,2,2,4,25
349,1,304.693,9,4,4,28
350,1,101.223,5,3,3,8
351,0,175.3,8,3,3,12
352,5,61.125,4,1,2,1
353,2,205.15,6,3,3,39
354,0,68.65,6,2,3,3
355,1,186.41,4,3,4,10
356,1,128.806,4,3,4,8
357,1,151.104,4,3,3,14
358,1,98.934,4,3,4,9
359,0,160.953,6,4,3,17
360,0,54.28,1,1,2,4
361,0,234.741,3,2,3,23
362,0,44.156,1,1,2,6
363,0,105.408,1,1,3,12
364,3,411.247,16,4,4,34
365,0,133.219,4,3,4,11
366,1,152.24,2,2,4,10
367,0,167.166,2,2,4,22
368,0,164.984,2,2,4,17
369,0,131.782,5,2,4,17
370,2,136.417,6,2,4,13
371,0,135.488,4,2,4,11
372,2,115.68,2,2,3,10
373,1,114.286,1,1,3,12
374,3,307.711,14,4,4,34
375,0,75.856,8,3,4,5
376,0,65.427,2,1,3,3
377,2,182.009,8,3,4,21
378,0,157.28,2,2,4,15
379,0,274.846,3,1,4,5
380,1,233.053,9,3,3,19
381,0,228.241,8,4,4,18
382,0,108.006,1,1,3,8
383,0,76.807,3,2,3,6
384,0,106.279,2,1,3,8
385,0,233.791,5,3,4,24
386,0,38.257,1,1,4,2
387,0,97.081,4,1,4,7
388,0,140.089,4,1,3,14
389,2,528.22,9,4,4,44
390,0,181.4,9,4,4,7
391,0,240.906,2,1,4,13
392,0,187.3,4,2,3,14
393,0,236.13,2,2,3,19
394,0,231.454,2,2,3,20
395,0,230.477,3,2,3,16
396,0,235.994,2,2,4,23
397,1,257.191,2,2,4,30
398,0,225.541,1,1,4,23
399,6,159.986,11,4,4,8
400,0,81.707,2,2,4,9
401,0,133.426,3,1,3,11
402,6,89.012,10,3,4,7
403,0,85.358,1,1,4,8
404,2,285.821,14,4,4,28
405,0,57.05,4,2,4,4
406,0,36.19,1,1,4,2
407,1,75.901,2,2,4,3
408,0,36.504,1,1,4,1
409,1,180.158,3,2,4,14
410,0,112.675,1,1,4,4
411,7,331.721,9,4,4,26
412,0,277.389,3,3,4,27
413,0,73.424,1,1,3,7
414,1,46.866,1,1,3,6
415,1,87.932,5,2,4,7
416,0,84.016,2,2,4,1
417,0,268.331,11,4,4,27
418,0,92.984,2,2,4,3
419,0,131.431,2,1,4,9
420,0,90.656,3,2,4,3
421,0,99.295,2,1,4,10
422,1,235.01,9,3,4,30
423,1,184.662,6,3,4,15
424,2,91.15,3,2,3,5
425,0,55.491,1,1,4,5
426,0,86.205,4,3,4,10
427,0,99.045,3,3,4,8
428,0,42.886,1,1,3,3
429,0,45.805,1,1,3,2
430,0,47.751,1,1,3,4
431,0,77.731,2,2,3,4
432,0,192.33,15,4,4,21
433,0,433.34,11,4,4,55
434,3,294.662,7,4,4,38
435,0,46.761,1,1,4,1
436,0,74.669,2,1,4,5
437,0,98.573,5,2,4,6
438,2,87.509,4,2,3,7
439,0,90.079,5,3,4,9
440,0,80.453,2,1,4,5
441,6,237.911,12,4,4,20
442,0,104.539,2,1,4,11
443,2,170.71,9,4,4,15
444,2,121.057,8,4,4,14
445,2,97.446,6,2,2,15
446,0,82.767,4,3,3,7
447,0,95.126,5,3,3,13
448,0,56.468,6,3,2,10
449,7,286.895,8,4,4,56
450,2,44.113,1,1,3,6
451,1,52.047,1,1,3,4
452,8,358.459,20,4,4,36
453,0,141.554,3,3,1,16
454,0,44.69,1,1,3,6
455,0,90.7,3,1,3,10
456,2,122.364,6,3,3,12
457,0,49.242,1,1,1,5
458,1,42.358,1,1,1,6
459,2,24.903,1,1,1,3
460,3,102.781,3,3,3,14
461,2,38.32,1,1,2,8
462,0,88.764,6,3,3,75
463,1,86.821,1,1,4,10
464,4,134.644,5,4,4,14
465,2,56.875,1,1,3,5
466,0,50.58,1,1,3,4
467,2,105.695,2,3,4,11
468,0,43.59,1,1,3,4
469,1,193.822,6,3,3,22
470,0,73.126,1,1,2,13
471,4,36.799,1,1,2,2
